asset,strategy,reference,cost_bps,mean_difference,ci_low,ci_high
BTC,arima__daily_sign,cash,10,-0.0018294846467913563,-0.00407303039137365,0.00025418119655657296
BTC,phase0_lstm__daily_sign,cash,10,-0.0010621882178553073,-0.003692909687850731,0.0017523188763113498
BTC,phase0_xgb__daily_sign,cash,10,-0.00027606018316575514,-0.002848698917957817,0.0020180478847336147
BTC,phase1_lstm__daily_sign,cash,10,-0.0008103469500451204,-0.003347610378253807,0.002001186788227419
BTC,phase1_xgb__daily_sign,cash,10,0.00010611237496919787,-0.002100339985698779,0.002168224678624911
BTC,phase2_general_lstm__daily_sign,cash,10,0.0008438874419430921,-0.0017764865656411924,0.003349420290245049
BTC,phase2_general_xgb__daily_sign,cash,10,-0.0010923606996097186,-0.0038457438069415353,0.0012986615937686436
BTC,phase2_lstm__daily_sign,cash,10,0.0008438874419430921,-0.0017764865656411924,0.003349420290245049
BTC,phase2_xgb__daily_sign,cash,10,-0.0010923606996097186,-0.0038457438069415353,0.0012986615937686436
BTC,phase3_crypto_lstm__daily_sign,cash,10,-0.0006237037369097061,-0.00320403308380819,0.002126338036835252
BTC,phase3_crypto_xgb__daily_sign,cash,10,-0.0011413746051073391,-0.004024426773094572,0.0012978953766519495
BTC,phase3_reference_lstm__daily_sign,cash,10,-0.0006237037369097061,-0.00320403308380819,0.002126338036835252
BTC,phase3_reference_xgb__daily_sign,cash,10,-0.0011413746051073391,-0.004024426773094572,0.0012978953766519495
BTC,phase4_combined_lstm__daily_sign,cash,10,-0.0008103469500451204,-0.003347610378253807,0.002001186788227419
BTC,phase4_combined_xgb__daily_sign,cash,10,-0.0013411627584999461,-0.0042161008304978055,0.0014197403096431957
BTC,phase4_decay_only_lstm__daily_sign,cash,10,-0.0008103469500451204,-0.003347610378253807,0.002001186788227419
BTC,phase4_decay_only_xgb__daily_sign,cash,10,-0.0011413746051073391,-0.004024426773094572,0.0012978953766519495
BTC,phase4_short_window_only_lstm__daily_sign,cash,10,-0.0005270884469393379,-0.003195658943216627,0.0022986477387211624
BTC,phase4_short_window_only_xgb__daily_sign,cash,10,-0.0013411627584999461,-0.0042161008304978055,0.0014197403096431957
BTC,phase5_concat_lstm__daily_sign,cash,10,-0.0019017952091869902,-0.00460160797459293,0.0009215630628820692
BTC,phase5_concat_xgb__daily_sign,cash,10,4.048383893329862e-05,-0.0031048664856625796,0.0027002894914600734
BTC,phase5_reliability_fusion_lstm__daily_sign,cash,10,-0.0008103469500451204,-0.003347610378253807,0.002001186788227419
BTC,phase5_reliability_fusion_xgb__daily_sign,cash,10,0.0011558192665771351,-0.0017307747429749034,0.004061236905581664
BTC,random_walk_zero_return__daily_sign,cash,10,0.0,0.0,0.0
ETH,arima__daily_sign,cash,10,-0.0022666865856380246,-0.006234872900073416,0.0010662627039186667
ETH,phase0_lstm__daily_sign,cash,10,6.474157506874036e-05,-0.004082440065504449,0.003813727455535245
ETH,phase0_xgb__daily_sign,cash,10,0.0008342315495802252,-0.0026186860851380796,0.005233933342847605
ETH,phase1_lstm__daily_sign,cash,10,0.0008940228944764832,-0.0029157141639439272,0.0044957590398664385
ETH,phase1_xgb__daily_sign,cash,10,-0.0018900971406163446,-0.005442697222885506,0.0013241432287400805
ETH,phase2_general_lstm__daily_sign,cash,10,-0.0011641666922124958,-0.005384682275849514,0.0023613628197023282
ETH,phase2_general_xgb__daily_sign,cash,10,0.0013709863559047688,-0.0021276568727384756,0.005293214291108265
ETH,phase2_lstm__daily_sign,cash,10,-0.0011641666922124958,-0.005384682275849514,0.0023613628197023282
ETH,phase2_xgb__daily_sign,cash,10,0.0013709863559047688,-0.0021276568727384756,0.005293214291108265
ETH,phase3_crypto_lstm__daily_sign,cash,10,-6.912260459365077e-05,-0.0040432247762493215,0.0033079911882184865
ETH,phase3_crypto_xgb__daily_sign,cash,10,-0.0008751416049119111,-0.004920940198687816,0.0030984035752116795
ETH,phase3_reference_lstm__daily_sign,cash,10,-6.912260459365077e-05,-0.0040432247762493215,0.0033079911882184865
ETH,phase3_reference_xgb__daily_sign,cash,10,-0.0008751416049119111,-0.004920940198687816,0.0030984035752116795
ETH,phase4_combined_lstm__daily_sign,cash,10,0.000405370833262959,-0.0035653253174768927,0.004924304582047258
ETH,phase4_combined_xgb__daily_sign,cash,10,-0.0002720296713756897,-0.004445196676628256,0.0036377888833232586
ETH,phase4_decay_only_lstm__daily_sign,cash,10,-0.0027913035994432483,-0.006474880396889514,0.001105481451365469
ETH,phase4_decay_only_xgb__daily_sign,cash,10,-0.0008751416049119111,-0.004920940198687816,0.0030984035752116795
ETH,phase4_short_window_only_lstm__daily_sign,cash,10,-0.0006210713697817527,-0.003735370616901597,0.003113666767226182
ETH,phase4_short_window_only_xgb__daily_sign,cash,10,-0.0002720296713756897,-0.004445196676628256,0.0036377888833232586
ETH,phase5_concat_lstm__daily_sign,cash,10,-0.0004597526852970472,-0.00423836916435896,0.0029456380360383854
ETH,phase5_concat_xgb__daily_sign,cash,10,0.0015069485379171276,-0.0024637942772586306,0.00533495594623502
ETH,phase5_reliability_fusion_lstm__daily_sign,cash,10,-0.0010929408092086046,-0.005021763431592865,0.0024270674150885575
ETH,phase5_reliability_fusion_xgb__daily_sign,cash,10,-0.0012626646708911178,-0.005356531145087706,0.002328865878362376
ETH,random_walk_zero_return__daily_sign,cash,10,0.0,0.0,0.0
