source_phase,asset,comparison,candidate_method,reference_method,candidate_result_id,reference_result_id,candidate_mae_significance,candidate_mae_registry,reference_mae_significance,reference_mae_registry,candidate_abs_diff,reference_abs_diff,pass_1e_10
phase0,BTC,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,phase0__BTC__phase0_lstm,phase0__BTC__random_walk_zero_return,0.016727339378903,0.016727339378903,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase0,BTC,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,phase0__BTC__phase0_lstm,phase0__BTC__arima,0.016727339378903,0.016727339378903,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase0,BTC,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,phase0__BTC__phase0_xgb,phase0__BTC__random_walk_zero_return,0.017511230495674,0.017511230495674,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase0,BTC,Phase 0 XGB vs ARIMA,phase0_xgb,arima,phase0__BTC__phase0_xgb,phase0__BTC__arima,0.017511230495674,0.017511230495674,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase0,ETH,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,phase0__ETH__phase0_lstm,phase0__ETH__random_walk_zero_return,0.0237778464572566,0.0237778464572566,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase0,ETH,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,phase0__ETH__phase0_lstm,phase0__ETH__arima,0.0237778464572566,0.0237778464572566,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase0,ETH,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,phase0__ETH__phase0_xgb,phase0__ETH__random_walk_zero_return,0.0245146968044746,0.0245146968044746,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase0,ETH,Phase 0 XGB vs ARIMA,phase0_xgb,arima,phase0__ETH__phase0_xgb,phase0__ETH__arima,0.0245146968044746,0.0245146968044746,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase1,ETH,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,phase1__ETH__phase1_xgb,phase1__ETH__phase0_xgb,0.0256170089363813,0.0256170089363813,0.0245146968044746,0.0245146968044746,0.0,0.0,True
phase1,ETH,Phase 1 XGB vs ARIMA,phase1_xgb,arima,phase1__ETH__phase1_xgb,phase1__ETH__arima,0.0256170089363813,0.0256170089363813,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase1,ETH,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,phase1__ETH__phase1_xgb,phase1__ETH__random_walk_zero_return,0.0256170089363813,0.0256170089363813,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase1,ETH,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,phase1__ETH__phase1_lstm,phase1__ETH__phase0_lstm,0.0230610127969092,0.0230610127969092,0.0237778464572566,0.0237778464572566,0.0,0.0,True
phase1,ETH,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,phase1__ETH__phase1_lstm,phase1__ETH__arima,0.0230610127969092,0.0230610127969092,0.0229923275444329,0.0229923275444329,0.0,0.0,True
phase1,ETH,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,phase1__ETH__phase1_lstm,phase1__ETH__random_walk_zero_return,0.0230610127969092,0.0230610127969092,0.0229388161849642,0.0229388161849642,0.0,0.0,True
phase1,BTC,Phase 1 XGB vs ARIMA,phase1_xgb,arima,phase1__BTC__phase1_xgb,phase1__BTC__arima,0.0177068390992374,0.0177068390992374,0.0166770411305337,0.0166770411305337,0.0,0.0,True
phase1,BTC,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,phase1__BTC__phase1_xgb,phase1__BTC__random_walk_zero_return,0.0177068390992374,0.0177068390992374,0.0166648493825606,0.0166648493825606,0.0,0.0,True
phase1,BTC,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,phase1__BTC__phase1_lstm,phase1__BTC__phase0_lstm,0.0169558094125944,0.0169558094125944,0.016727339378903,0.0167273393789029,0.0,1.0061396160665481e-16,True
