source_phase,asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,source_file,result_id
phase0,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__BTC__arima
phase0,BTC,phase0,lstm,phase0_lstm,0.016727339378903,0.0241272462488646,-0.01160684505376,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__BTC__phase0_lstm
phase0,BTC,phase0,xgb,phase0_xgb,0.017511230495674,0.0249078798595605,-0.0781266226580323,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__BTC__phase0_xgb
phase0,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__BTC__random_walk_zero_return
phase0,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__ETH__arima
phase0,ETH,phase0,lstm,phase0_lstm,0.0237778464572566,0.0342181736642965,-0.039362146956374,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__ETH__phase0_lstm
phase0,ETH,phase0,xgb,phase0_xgb,0.0245146968044746,0.0346499376693039,-0.0657569150258268,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__ETH__phase0_xgb
phase0,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase0/ensemble_metrics.csv,phase0__ETH__random_walk_zero_return
phase1,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__arima
phase1,BTC,phase0,lstm,phase0_lstm,0.0167273393789029,0.0241272462488646,-0.0116068450537598,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__phase0_lstm
phase1,BTC,phase0,xgb,phase0_xgb,0.0175112304956739,0.0249078798595604,-0.0781266226580319,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__phase0_xgb
phase1,BTC,phase1,lstm,phase1_lstm,0.0169558094125944,0.0242273540947103,-0.0200189011503864,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__phase1_lstm
phase1,BTC,phase1,xgb,phase1_xgb,0.0177068390992374,0.0248421706380282,-0.0724457364023078,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__phase1_xgb
phase1,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__BTC__random_walk_zero_return
phase1,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__arima
phase1,ETH,phase0,lstm,phase0_lstm,0.0237778464572566,0.0342181736642965,-0.0393621469563736,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__phase0_lstm
phase1,ETH,phase0,xgb,phase0_xgb,0.0245146968044746,0.0346499376693039,-0.0657569150258263,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__phase0_xgb
phase1,ETH,phase1,lstm,phase1_lstm,0.0230610127969092,0.0335705263689398,-0.0003904689528619,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__phase1_lstm
phase1,ETH,phase1,xgb,phase1_xgb,0.0256170089363813,0.035689369127098,-0.1306572867234499,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__phase1_xgb
phase1,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase1/ensemble_metrics.csv,phase1__ETH__random_walk_zero_return
phase2,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__arima
phase2,BTC,phase0,lstm,phase0_lstm,0.0167273393789029,0.0241272462488646,-0.0116068450537598,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase0_lstm
phase2,BTC,phase0,xgb,phase0_xgb,0.0175112304956739,0.0249078798595604,-0.0781266226580319,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase0_xgb
phase2,BTC,phase1,lstm,phase1_lstm,0.0169558094125944,0.0242273540947103,-0.0200189011503859,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase1_lstm
phase2,BTC,phase1,xgb,phase1_xgb,0.0177068390992373,0.0248421706380281,-0.0724457364023072,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase1_xgb
phase2,BTC,phase2,lstm,phase2_lstm,0.0166148163467547,0.0239842203620339,0.0003511808835883,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase2_lstm
phase2,BTC,phase2,xgb,phase2_xgb,0.0171729494837657,0.0244137644835541,-0.0357757696963827,0.506578947368421,0.4317125502652969,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__phase2_xgb
phase2,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__BTC__random_walk_zero_return
phase2,ETH,benchmark,arima,arima,0.0229923275444329,0.0336592133220988,-0.0056831339809726,0.5197368421052632,0.2640894673163735,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__arima
phase2,ETH,phase0,lstm,phase0_lstm,0.0237778464572566,0.0342181736642965,-0.0393621469563736,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase0_lstm
phase2,ETH,phase0,xgb,phase0_xgb,0.0245146968044746,0.0346499376693039,-0.0657569150258263,0.5,0.5228621002394082,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase0_xgb
phase2,ETH,phase1,lstm,phase1_lstm,0.0230610127969092,0.0335705263689398,-0.0003904689528619,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase1_lstm
phase2,ETH,phase1,xgb,phase1_xgb,0.0256170089363812,0.035689369127098,-0.1306572867234492,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase1_xgb
phase2,ETH,phase2,lstm,phase2_lstm,0.0244506118447031,0.0345798427236784,-0.0614493394985797,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase2_lstm
phase2,ETH,phase2,xgb,phase2_xgb,0.0241025392083516,0.0342795405310663,-0.0430934736306305,0.5263157894736842,0.1948265530709673,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__phase2_xgb
phase2,ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.0229388161849642,0.0335957913281933,-0.0018968102590299,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase2/ensemble_metrics.csv,phase2__ETH__random_walk_zero_return
phase3,BTC,benchmark,arima,arima,0.0166770411305337,0.0240109249203937,-0.0018761203441846,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__arima
phase3,BTC,phase0,lstm,phase0_lstm,0.0167273393789029,0.0241272462488646,-0.0116068450537598,0.4835526315789473,0.7359105326836264,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase0_lstm
phase3,BTC,phase0,xgb,phase0_xgb,0.0175112304956739,0.0249078798595604,-0.0781266226580319,0.4967105263157895,0.568287449734703,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase0_xgb
phase3,BTC,phase2_general,lstm,phase2_general_lstm,0.0166148163467547,0.0239842203620338,0.0003511808835885,0.5230263157894737,0.2279819152999158,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase2_general_lstm
phase3,BTC,phase2_general,xgb,phase2_general_xgb,0.0171729494837657,0.0244137644835541,-0.0357757696963818,0.506578947368421,0.4317125502652969,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase2_general_xgb
phase3,BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.0170401354644876,0.0242968403828836,-0.0258783085284326,0.4802631578947368,0.7720180847000842,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase3_crypto_lstm
phase3,BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.0176825910076034,0.0249221858230469,-0.0793654329868327,0.4901315789473684,0.6559315415238023,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__phase3_crypto_xgb
phase3,BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.0166648493825606,0.0240133875109925,-0.0020816382276849,,,304,/content/drive/MyDrive/Crypto_Research/revised_outputs_v3/phase3/ensemble_metrics.csv,phase3__BTC__random_walk_zero_return
