source_phase,asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family,source_file,candidate_result_id,reference_result_id,final_family,dm_p_value_holm_cross_phase_family,wilcoxon_p_value_holm_cross_phase_family
phase0,BTC,benchmark_comparisons,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.016727339378903,0.0166648493825606,6.248999634232699e-05,6.248999634232503e-05,0.7899670795675855,5,0.4301647774391426,0.3735177049005098,0.8132411475497451,304,0.8603295548782852,0.7470354098010197,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__BTC__phase0_lstm,phase0__BTC__random_walk_zero_return,benchmark_comparisons,1.0,1.0
phase0,BTC,benchmark_comparisons,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,0.016727339378903,0.0166770411305337,5.02982483692703e-05,5.0298248369268e-05,0.531622800449057,5,0.595376799326296,0.726757536698577,0.6366212316507115,304,0.8603295548782852,0.7470354098010197,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__BTC__phase0_lstm,phase0__BTC__arima,benchmark_comparisons,1.0,1.0
phase0,BTC,benchmark_comparisons,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.017511230495674,0.0166648493825606,0.0008463811131133,0.0008463811131133,2.205608551214849,5,0.028161986105876,0.0276004846165633,0.9861997576917184,304,0.1126479444235042,0.1104019384662532,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__BTC__phase0_xgb,phase0__BTC__random_walk_zero_return,benchmark_comparisons,0.5465234123567841,0.4416077538650128
phase0,BTC,benchmark_comparisons,Phase 0 XGB vs ARIMA,phase0_xgb,arima,0.017511230495674,0.0166770411305337,0.0008341893651402,0.0008341893651402,2.1944097342635867,5,0.0289648199494547,0.0359666991428502,0.9820166504285748,304,0.1126479444235042,0.1104019384662532,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__BTC__phase0_xgb,phase0__BTC__arima,benchmark_comparisons,0.5465234123567841,0.539500487142753
phase0,ETH,benchmark_comparisons,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.0237778464572566,0.0229388161849642,0.0008390302722924,0.0008390302722924,2.572760771088652,5,0.0105649836164876,0.0039240937442372,0.9980379531278812,304,0.0633899016989256,0.0235445624654236,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__ETH__phase0_lstm,phase0__ETH__random_walk_zero_return,benchmark_comparisons,0.35920944296057844,0.1412673747925392
phase0,ETH,benchmark_comparisons,Phase 0 LSTM vs ARIMA,phase0_lstm,arima,0.0237778464572566,0.0229923275444329,0.0007855189128237,0.0007855189128237,2.484880761448733,5,0.0134990891924443,0.006239830204555,0.9968800848977224,304,0.0674954459622219,0.0311991510227754,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__ETH__phase0_lstm,phase0__ETH__arima,benchmark_comparisons,0.4184717649657733,0.1971163766600688
phase0,ETH,benchmark_comparisons,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.0245146968044746,0.0229388161849642,0.0015758806195103,0.0015758806195103,2.8723102820390145,5,0.0043623968963087,0.0003525040150466,0.9998237479924768,304,0.0348991751704699,0.0028200321203728,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__ETH__phase0_xgb,phase0__ETH__random_walk_zero_return,benchmark_comparisons,0.1657710820597306,0.0133951525717708
phase0,ETH,benchmark_comparisons,Phase 0 XGB vs ARIMA,phase0_xgb,arima,0.0245146968044746,0.0229923275444329,0.0015223692600417,0.0015223692600417,2.779230364634384,5,0.0057892415471235,0.0004868298267835,0.9997565850866084,304,0.0405246908298645,0.0034078087874849,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase0/significance_final.csv,phase0__ETH__phase0_xgb,phase0__ETH__arima,benchmark_comparisons,0.2142019372435695,0.0180127035909895
phase1,ETH,sentiment_increment,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.0256170089363813,0.0245146968044746,0.0011023121319066,0.0011023121319066,2.619318219543324,5,0.009253982973949,0.0035438540503912,0.9982280729748044,304,0.0370159318957961,0.0141754162015648,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_xgb,phase1__ETH__phase0_xgb,sentiment_increment,0.09253982973949,0.035438540503912
phase1,ETH,benchmark_comparisons,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.0256170089363813,0.0229923275444329,0.0026246813919484,0.0026246813919484,4.233954567621138,5,3.048185986303855e-05,4.105198668287793e-06,0.9999979474006658,304,0.0003353004584934,4.515718535116572e-05,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_xgb,phase1__ETH__arima,benchmark_comparisons,0.0014326474135628118,0.00019294433740952628
phase1,ETH,benchmark_comparisons,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.0256170089363813,0.0229388161849642,0.002678192751417,0.002678192751417,4.261315035054832,5,2.7165142742368555e-05,3.3352825063121222e-06,0.9999983323587468,304,0.0003259817129084,4.002339007574547e-05,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_xgb,phase1__ETH__random_walk_zero_return,benchmark_comparisons,0.0013039268516336906,0.00016009356030298187
phase1,ETH,sentiment_increment,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.0230610127969092,0.0237778464572566,-0.0007168336603474,-0.0007168336603474,-2.171425047303583,5,0.0306747755034473,0.0241696201241646,0.0120848100620823,304,0.0920243265103419,0.0725088603724938,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_lstm,phase1__ETH__phase0_lstm,sentiment_increment,0.2453982040275784,0.1933569609933168
phase1,ETH,benchmark_comparisons,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.0230610127969092,0.0229923275444329,6.868525247634427e-05,6.868525247633838e-05,0.6061391831314334,5,0.5448761491171072,0.6074394899571309,0.6962802550214345,304,0.860329554878245,0.9284351332456132,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_lstm,phase1__ETH__arima,benchmark_comparisons,1.0,1.0
phase1,ETH,benchmark_comparisons,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,0.0230610127969092,0.0229388161849642,0.0001221966119449,0.0001221966119449,1.2087351352630833,5,0.2277070299848971,0.1856870266491226,0.9071564866754388,304,0.6831210899546915,0.9284351332456132,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__ETH__phase1_lstm,phase1__ETH__random_walk_zero_return,benchmark_comparisons,1.0,1.0
phase1,BTC,benchmark_comparisons,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.0177068390992374,0.0166770411305337,0.0010297979687037,0.0010297979687036,2.4783698720507337,5,0.0137428545367421,0.0154365486264686,0.9922817256867656,304,0.1097821524946077,0.1234923890117492,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__BTC__phase1_xgb,phase1__BTC__arima,benchmark_comparisons,0.4184717649657733,0.3396040697823092
phase1,BTC,benchmark_comparisons,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.0177068390992374,0.0166648493825606,0.0010419897166767,0.0010419897166767,2.4789024562602284,5,0.0137227690618259,0.015547672596929,0.9922261637015356,304,0.1097821524946077,0.1234923890117492,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__BTC__phase1_xgb,phase1__BTC__random_walk_zero_return,benchmark_comparisons,0.4184717649657733,0.3396040697823092
phase1,BTC,sentiment_increment,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.0169558094125944,0.016727339378903,0.0002284700336914,0.0002284700336914,1.5323816911690222,5,0.1264716744901516,0.0587598957923639,0.970620052103818,304,0.2529433489803033,0.1175197915847278,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__BTC__phase1_lstm,phase1__BTC__phase0_lstm,sentiment_increment,0.6692350099165926,0.2937994789618195
phase1,BTC,benchmark_comparisons,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.0169558094125944,0.0166770411305337,0.0002787682820607,0.0002787682820607,1.693127935234588,5,0.0914589129246695,0.2392917754751909,0.8803541122624046,304,0.3658356516986782,0.9284351332456132,/content/drive/MyDrive/Crypto_Research/revised_outputs_v4/phase1/significance_final.csv,phase1__BTC__phase1_lstm,phase1__BTC__arima,benchmark_comparisons,1.0,1.0
