asset,method,metric,occurrences,min_value,max_value,range,pass_1e_10
BTC,arima,mae,6,0.0166770411305337,0.0166770411305337,0.0,True
BTC,arima,rmse,6,0.0240109249203937,0.0240109249203937,0.0,True
BTC,arima,r2,6,-0.0018761203441846,-0.0018761203441846,0.0,True
BTC,arima,directional_accuracy,6,0.4835526315789473,0.4835526315789473,0.0,True
BTC,phase0_lstm,mae,4,0.0167273393789029,0.016727339378903,1.0061396160665481e-16,True
BTC,phase0_lstm,rmse,4,0.0241272462488646,0.0241272462488646,0.0,True
BTC,phase0_lstm,r2,4,-0.01160684505376,-0.0116068450537598,1.9949319973733282e-16,True
BTC,phase0_lstm,directional_accuracy,4,0.4835526315789473,0.4835526315789473,0.0,True
BTC,phase0_xgb,mae,4,0.0175112304956739,0.017511230495674,1.0061396160665481e-16,True
BTC,phase0_xgb,rmse,4,0.0249078798595604,0.0249078798595605,1.0061396160665481e-16,True
BTC,phase0_xgb,r2,4,-0.0781266226580323,-0.0781266226580319,4.0245584642661925e-16,True
BTC,phase0_xgb,directional_accuracy,4,0.4967105263157895,0.4967105263157895,0.0,True
BTC,phase1_lstm,mae,2,0.0169558094125944,0.0169558094125944,0.0,True
BTC,phase1_lstm,rmse,2,0.0242273540947103,0.0242273540947103,0.0,True
BTC,phase1_lstm,r2,2,-0.0200189011503864,-0.0200189011503859,4.996003610813204e-16,True
BTC,phase1_lstm,directional_accuracy,2,0.4802631578947368,0.4802631578947368,0.0,True
BTC,phase1_xgb,mae,2,0.0177068390992373,0.0177068390992374,1.0061396160665481e-16,True
BTC,phase1_xgb,rmse,2,0.0248421706380281,0.0248421706380282,1.0061396160665481e-16,True
BTC,phase1_xgb,r2,2,-0.0724457364023078,-0.0724457364023072,5.967448757360216e-16,True
BTC,phase1_xgb,directional_accuracy,2,0.4967105263157895,0.4967105263157895,0.0,True
BTC,phase2_general_lstm,mae,2,0.0166148163467547,0.0166148163467547,0.0,True
BTC,phase2_general_lstm,rmse,2,0.0239842203620338,0.0239842203620338,0.0,True
BTC,phase2_general_lstm,r2,2,0.0003511808835885,0.0003511808835885,0.0,True
BTC,phase2_general_lstm,directional_accuracy,2,0.5230263157894737,0.5230263157894737,0.0,True
BTC,phase2_general_xgb,mae,2,0.0171729494837657,0.0171729494837657,0.0,True
BTC,phase2_general_xgb,rmse,2,0.0244137644835541,0.0244137644835541,0.0,True
BTC,phase2_general_xgb,r2,2,-0.0357757696963818,-0.0357757696963818,0.0,True
BTC,phase2_general_xgb,directional_accuracy,2,0.506578947368421,0.506578947368421,0.0,True
