corpus,period,start_date,end_date,calendar_days,no_news_days,no_news_pct,days_with_news,mean_articles_per_day,median_articles_per_day
general,full_retrieval_window,2022-04-01,2026-08-31,1614,0,0.0,1614,841.8073110285006,52.0
general,forecast_sample,2022-05-01,2026-08-31,1584,0,0.0,1584,857.2316919191919,53.0
general,train_query_dates,2022-05-01,2025-03-31,1066,0,0.0,1066,42.79643527204503,37.5
general,validation_query_dates,2025-04-01,2025-10-31,214,0,0.0,214,455.5420560747664,200.5
general,test_query_dates,2025-11-01,2026-08-31,304,0,0.0,304,3995.8815789473683,4091.5
BTC_specific,full_retrieval_window,2022-04-01,2026-08-31,1614,0,0.0,1614,38.03531598513011,39.0
BTC_specific,forecast_sample,2022-05-01,2026-08-31,1584,0,0.0,1584,37.609848484848484,39.0
BTC_specific,train_query_dates,2022-05-01,2025-03-31,1066,0,0.0,1066,40.10037523452158,41.0
BTC_specific,validation_query_dates,2025-04-01,2025-10-31,214,0,0.0,214,43.598130841121495,48.0
BTC_specific,test_query_dates,2025-11-01,2026-08-31,304,0,0.0,304,24.661184210526315,22.0
ETH_specific,full_retrieval_window,2022-04-01,2026-08-31,1614,2,0.12391573729863693,1612,25.63444857496902,24.0
ETH_specific,forecast_sample,2022-05-01,2026-08-31,1584,2,0.12626262626262627,1582,25.147727272727273,24.0
ETH_specific,train_query_dates,2022-05-01,2025-03-31,1066,1,0.09380863039399624,1065,27.712945590994373,27.0
ETH_specific,validation_query_dates,2025-04-01,2025-10-31,214,0,0.0,214,27.962616822429908,30.0
ETH_specific,test_query_dates,2025-11-01,2026-08-31,304,1,0.3289473684210526,303,14.171052631578947,12.5
