asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family
BTC,benchmark_comparisons,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.016727339378902965,0.01666484938256064,6.248999634232699e-05,6.24899963423263e-05,0.7899670795676199,5,0.4301647774391225,0.37351770490050984,0.8132411475497451,304,0.860329554878245,0.9284351332456131
BTC,benchmark_comparisons,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,0.016955809412594457,0.016664849382560683,0.0002909600300337739,0.00029096003003377423,1.9183313166682399,5,0.056008573650135555,0.20432165065112906,0.8978391746744354,304,0.28004286825067776,0.9284351332456131
BTC,benchmark_comparisons,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.016955809412594457,0.01667704113053374,0.0002787682820607172,0.0002787682820607172,1.693127935234588,5,0.09145891292466955,0.23929177547519098,0.8803541122624046,304,0.3658356516986782,0.9284351332456131
BTC,sentiment_increment,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.016955809412594457,0.016727339378903007,0.00022847003369145039,0.0002284700336914528,1.5323816911690222,5,0.12647167449015168,0.05875989579236394,0.9706200521038181,304,0.25294334898030335,0.11751979158472788
BTC,benchmark_comparisons,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.01751123049567396,0.01666484938256064,0.000846381113113321,0.0008463811131133196,2.2056085512148624,5,0.02816198610587512,0.02760048461656332,0.9861997576917183,304,0.16897191663525074,0.1656029076993799
BTC,benchmark_comparisons,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.017706839099237443,0.016664849382560683,0.0010419897166767597,0.0010419897166767556,2.4789024562602284,5,0.013722769061825967,0.015547672596929041,0.9922261637015355,304,0.10978215249460774,0.12349238901174929
BTC,benchmark_comparisons,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.017706839099237443,0.01667704113053374,0.001029797968703703,0.0010297979687036985,2.4783698720507337,5,0.013742854536742127,0.015436548626468661,0.9922817256867656,304,0.10978215249460774,0.12349238901174929
BTC,sentiment_increment,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.017706839099237443,0.017511230495673994,0.0001956086035634491,0.00019560860356344524,0.45956769335941766,5,0.6461561069554513,0.6650941138739906,0.6674529430630047,304,0.6461561069554513,0.6650941138739906
ETH,benchmark_comparisons,Phase 0 LSTM vs random walk,phase0_lstm,random_walk_zero_return,0.02377784645725665,0.02293881618496425,0.0008390302722924015,0.0008390302722924053,2.5727607710886757,5,0.010564983616486888,0.003924093744237274,0.9980379531278813,304,0.09508485254838199,0.03531684369813547
ETH,benchmark_comparisons,Phase 1 LSTM vs random walk,phase1_lstm,random_walk_zero_return,0.023061012796909256,0.02293881618496429,0.00012219661194496495,0.00012219661194495788,1.2087351352630833,5,0.22770702998489714,0.18568702664912262,0.9071564866754387,304,0.6831210899546915,0.9284351332456131
ETH,benchmark_comparisons,Phase 1 LSTM vs ARIMA,phase1_lstm,arima,0.023061012796909256,0.022992327544432912,6.868525247634427e-05,6.868525247633838e-05,0.6061391831314334,5,0.5448761491171072,0.6074394899571309,0.6962802550214345,304,0.860329554878245,0.9284351332456131
ETH,sentiment_increment,Phase 1 vs Phase 0 for LSTM,phase1_lstm,phase0_lstm,0.023061012796909256,0.023777846457256686,-0.0007168336603474296,-0.0007168336603474363,-2.171425047303583,5,0.030674775503447316,0.024169620124164605,0.012084810062082302,304,0.09202432651034195,0.07250886037249382
ETH,benchmark_comparisons,Phase 0 XGB vs random walk,phase0_xgb,random_walk_zero_return,0.024514696804474635,0.02293881618496425,0.0015758806195103857,0.0015758806195103928,2.8723102820390265,5,0.004362396896308578,0.0003525040150466049,0.9998237479924768,304,0.04362396896308578,0.0035250401504660495
ETH,benchmark_comparisons,Phase 1 XGB vs random walk,phase1_xgb,random_walk_zero_return,0.02561700893638133,0.02293881618496429,0.002678192751417039,0.00267819275141704,4.261315035054832,5,2.7165142742368555e-05,3.3352825063121222e-06,0.9999983323587468,304,0.00032598171290842265,4.002339007574547e-05
ETH,benchmark_comparisons,Phase 1 XGB vs ARIMA,phase1_xgb,arima,0.02561700893638133,0.022992327544432912,0.0026246813919484184,0.0026246813919484206,4.233954567621138,5,3.048185986303855e-05,4.105198668287793e-06,0.9999979474006658,304,0.00033530045849342407,4.515718535116572e-05
ETH,sentiment_increment,Phase 1 vs Phase 0 for XGB,phase1_xgb,phase0_xgb,0.02561700893638133,0.02451469680447467,0.0011023121319066603,0.001102312131906662,2.619318219543324,5,0.009253982973949028,0.0035438540503912046,0.9982280729748044,304,0.03701593189579611,0.014175416201564818
