feature,vif,above_reported_threshold,asset
volume_vs_MA5,2.6760734326144666,False,BTC
intraday_range,2.2314742748673995,False,BTC
SP500_Return,2.16556630592711,False,BTC
VIX_Change,2.0570246692537766,False,BTC
volume_change,1.9842373969519764,False,BTC
RSI,1.6026764253644994,False,BTC
volatility_20d,1.4425862462757977,False,BTC
Log_Return,1.4012698547338134,False,BTC
Return_lag1,1.1738675832463163,False,BTC
Return_lag3,1.1283860478500576,False,BTC
Return_lag5,1.0922175094636215,False,BTC
volume_vs_MA5,2.6405152877774007,False,ETH
intraday_range,2.172864132219591,False,ETH
SP500_Return,2.148690660512009,False,ETH
volume_change,2.072374645640635,False,ETH
VIX_Change,2.062549613697492,False,ETH
RSI,1.6042883750999435,False,ETH
volatility_20d,1.4774400239203844,False,ETH
Log_Return,1.411958785018001,False,ETH
Return_lag1,1.2127959042903906,False,ETH
Return_lag3,1.1317274660423429,False,ETH
Return_lag5,1.0994840085593138,False,ETH
