asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,0.016749781226675947,0.024146354911483318,-0.013209855071439902,0.5,0.5228621002394082,304
BTC,phase0,xgb,phase0_xgb,0.01747738950258969,0.024731225616596124,-0.06288805086403682,0.4868421052631579,0.6971010550060723,304
BTC,phase1,lstm,phase1_lstm,0.01695716380393024,0.024382592655086216,-0.033132472929217505,0.4934210526315789,0.6128278898242461,304
BTC,phase1,xgb,phase1_xgb,0.01868164759115201,0.025953180633691217,-0.17051618911779265,0.46710526315789475,0.8858173157079974,304
BTC,phase2,lstm,phase2_lstm,0.016646594852021135,0.024040289538178345,-0.004328145756438362,0.5263157894736842,0.19482655307096733,304
BTC,phase2,xgb,phase2_xgb,0.017169140807534435,0.024224387347931337,-0.019769104784200353,0.5263157894736842,0.19482655307096733,304
ETH,phase0,lstm,phase0_lstm,0.023306056249634853,0.033983866799378426,-0.02517694168008555,0.5197368421052632,0.26408946731637356,304
ETH,phase0,xgb,phase0_xgb,0.024515127400033775,0.03447921704382303,-0.05528079456594237,0.48355263157894735,0.7359105326836264,304
ETH,phase1,lstm,phase1_lstm,0.023430315597887025,0.033847660529859554,-0.01697565603796991,0.4967105263157895,0.568287449734703,304
ETH,phase1,xgb,phase1_xgb,0.025563184092243212,0.03582921887804046,-0.13953566965648911,0.48026315789473684,0.7720180847000842,304
ETH,phase2,lstm,phase2_lstm,0.023390408607197547,0.03407579982944294,-0.030731053713132672,0.5427631578947368,0.07574863286906915,304
ETH,phase2,xgb,phase2_xgb,0.0239761220398249,0.034169763471887674,-0.03642335016940912,0.5296052631578947,0.16477950605098335,304
