asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,benchmark,arima,arima,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304,-0.07315846482126043,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498233847375
BTC,phase0,lstm,phase0_lstm,0.016727339378902965,0.02412724624886465,-0.011606845053759862,0.48355263157894735,0.7359105326836264,304,-0.3749808648596368,-0.3016017528261347
BTC,phase0,xgb,phase0_xgb,0.01751123049567396,0.024907879859560497,-0.07812662265803194,0.4967105263157895,0.568287449734703,304,-5.0788404604423905,-5.002022592682311
BTC,phase2_general,lstm,phase2_general_lstm,0.01661481634675474,0.02398422036203389,0.00035118088358854216,0.5230263157894737,0.2279819152999158,304,0.3002309511317947,0.3731164496864689
BTC,phase2_general,xgb,phase2_general_xgb,0.01717294948376571,0.02441376448355414,-0.035775769696381854,0.506578947368421,0.4317125502652969,304,-3.0489330538849093,-2.973599149575881
BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.017040135464487672,0.02429684038288369,-0.025878308528432648,0.48026315789473684,0.7720180847000842,304,-2.25196203885116,-2.177210760061915
BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.017682591007603436,0.024922185823046915,-0.07936543298683274,0.4901315789473684,0.6559315415238023,304,-6.1071156521089955,-6.029546063951657
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304,-0.23327864453482902,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179767107
ETH,phase0,lstm,phase0_lstm,0.02377784645725665,0.03421817366429653,-0.039362146956373634,0.5,0.5228621002394082,304,-3.6576877617700214,-3.41643929395889
ETH,phase0,xgb,phase0_xgb,0.024514696804474635,0.034649937669303923,-0.06575691502582637,0.5,0.5228621002394082,304,-6.869930020814618,-6.621205517796008
ETH,phase2_general,lstm,phase2_general_lstm,0.024450611844703072,0.03457984272367845,-0.06144933949857889,0.48355263157894735,0.7359105326836264,304,-6.590556581249026,-6.342482280021501
ETH,phase2_general,xgb,phase2_general_xgb,0.02410253920835158,0.03427954053106629,-0.04309347363063032,0.5263157894736842,0.19482655307096733,304,-5.073160768209461,-4.828617989079941
ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.023512778895367726,0.0340610626605904,-0.029839701319752665,0.5230263157894737,0.2279819152999158,304,-2.5021461690758486,-2.263587059331146
ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.024686369537748026,0.03503855085113162,-0.08979676853002383,0.5,0.5228621002394082,304,-7.618324061244294,-7.367857777953802
