asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,benchmark,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304
BTC,benchmark,arima,arima,benchmark,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304
BTC,phase0,lstm,phase0_lstm,42,0.016805381380371326,0.024253446142116778,-0.022217136485378708,0.5098684210526315,0.38717211017575387,304
BTC,phase0,lstm,phase0_lstm,123,0.01684449904837777,0.024185810815508146,-0.016523793997138325,0.46710526315789475,0.8858173157079974,304
BTC,phase0,lstm,phase0_lstm,2024,0.016723161433528356,0.024092360868319177,-0.008683612420978815,0.4967105263157895,0.568287449734703,304
BTC,phase0,lstm,phase0_lstm,2025,0.01671257893116047,0.024102201987525117,-0.009507824137095167,0.4868421052631579,0.6971010550060723,304
BTC,phase0,lstm,phase0_lstm,7,0.016655805067712436,0.0241925319670308,-0.017088849253838356,0.5164473684210527,0.3028989449939276,304
BTC,phase0,xgb,phase0_xgb,42,0.017658749064719877,0.025051271076170632,-0.0905756048086046,0.5164473684210527,0.3028989449939276,304
BTC,phase0,xgb,phase0_xgb,123,0.017456661402575378,0.02487142168264795,-0.07497278022144305,0.5526315789473685,0.037617623759716966,304
BTC,phase0,xgb,phase0_xgb,2024,0.01742171250163993,0.02479858145458624,-0.06868551573575665,0.5032894736842105,0.47713789976059184,304
BTC,phase0,xgb,phase0_xgb,2025,0.01788609305443531,0.025430654959012006,-0.12385772917109894,0.5032894736842105,0.47713789976059184,304
BTC,phase0,xgb,phase0_xgb,7,0.01758886835615326,0.024906679961267317,-0.07802275102045764,0.4901315789473684,0.6559315415238023,304
BTC,phase2_general,lstm,phase2_general_lstm,42,0.016622416854772573,0.023976594472008773,0.0009867654409445592,0.4967105263157895,0.568287449734703,304
BTC,phase2_general,lstm,phase2_general_lstm,123,0.016708156345853396,0.024090303086201876,-0.008511311958769197,0.48026315789473684,0.7720180847000842,304
BTC,phase2_general,lstm,phase2_general_lstm,2024,0.01684992809763901,0.024167467092134468,-0.014982414212163953,0.47039473684210525,0.8620948714078855,304
BTC,phase2_general,lstm,phase2_general_lstm,2025,0.016559906602419888,0.02392635590851843,0.005168878038416369,0.5230263157894737,0.2279819152999158,304
BTC,phase2_general,lstm,phase2_general_lstm,7,0.016635049094826545,0.023941984631319926,0.0038688039389696005,0.5361842105263158,0.1141826842920026,304
BTC,phase2_general,xgb,phase2_general_xgb,42,0.017450917251540517,0.024909633600733384,-0.07827844783316307,0.47368421052631576,0.8352204939490167,304
BTC,phase2_general,xgb,phase2_general_xgb,123,0.01726141263507362,0.02445449637122562,-0.03923482628306574,0.4934210526315789,0.6128278898242461,304
