asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase0,lstm,phase0_lstm,42,0.016779822645300074,0.024138305580051585,-0.012534448568555012,0.5131578947368421,0.3440684584761977,304
BTC,phase0,lstm,phase0_lstm,123,0.01682519520992675,0.024163521558302054,-0.014651033141585001,0.4868421052631579,0.6971010550060723,304
BTC,phase0,lstm,phase0_lstm,2024,0.01673697036571552,0.02416373733217298,-0.014669154354426173,0.4901315789473684,0.6559315415238023,304
BTC,phase0,lstm,phase0_lstm,2025,0.01676582156183356,0.024138510915040223,-0.012551675099480963,0.46381578947368424,0.9064834941780341,304
BTC,phase0,lstm,phase0_lstm,7,0.017089599893195397,0.02440055691813653,-0.03465538731015827,0.5197368421052632,0.26408946731637356,304
BTC,phase0,xgb,phase0_xgb,42,0.017560190033889644,0.02479643702426347,-0.06850069689500349,0.5098684210526315,0.38717211017575387,304
BTC,phase0,xgb,phase0_xgb,123,0.017457901011587326,0.024827098459681327,-0.0711447880976599,0.5032894736842105,0.47713789976059184,304
BTC,phase0,xgb,phase0_xgb,2024,0.017730280636384203,0.02484349066649262,-0.07255971166887143,0.47368421052631576,0.8352204939490167,304
BTC,phase0,xgb,phase0_xgb,2025,0.017601876747324153,0.02500222165728827,-0.08630917602975452,0.4967105263157895,0.568287449734703,304
BTC,phase0,xgb,phase0_xgb,7,0.017415341741584555,0.024671701959459245,-0.05777784333039082,0.5263157894736842,0.19482655307096733,304
BTC,phase2_general,lstm,phase2_general_lstm,42,0.016865259642559572,0.024228759253379546,-0.020137224427506872,0.5361842105263158,0.1141826842920026,304
BTC,phase2_general,lstm,phase2_general_lstm,123,0.016787164322151233,0.02410252757968552,-0.009535098827902821,0.46710526315789475,0.8858173157079974,304
BTC,phase2_general,lstm,phase2_general_lstm,2024,0.01675751349904493,0.02432441922351867,-0.02820853674500845,0.5197368421052632,0.26408946731637356,304
BTC,phase2_general,lstm,phase2_general_lstm,2025,0.01665009870365691,0.023931586222528396,0.004733889284221915,0.5427631578947368,0.07574863286906915,304
BTC,phase2_general,lstm,phase2_general_lstm,7,0.016622149598503676,0.023988937272766804,-4.205415519153988e-05,0.5263157894736842,0.19482655307096733,304
BTC,phase2_general,xgb,phase2_general_xgb,42,0.01745508193671801,0.02468831625444651,-0.05920297002212527,0.5328947368421053,0.1379051285921145,304
BTC,phase2_general,xgb,phase2_general_xgb,123,0.017169550186733266,0.02412592967550045,-0.011496445526583132,0.4967105263157895,0.568287449734703,304
BTC,phase2_general,xgb,phase2_general_xgb,2024,0.017272354298593535,0.024263789882035623,-0.023089243720797903,0.5394736842105263,0.09351650582196593,304
BTC,phase2_general,xgb,phase2_general_xgb,2025,0.01703810816459,0.023976081072824604,0.0010295477542573428,0.5361842105263158,0.1141826842920026,304
BTC,phase2_general,xgb,phase2_general_xgb,7,0.017317557659555272,0.024505837784832774,-0.04360308589482065,0.506578947368421,0.4317125502652969,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,42,0.01704373403992052,0.024355645792908623,-0.03085016480953162,0.4868421052631579,0.6971010550060723,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,123,0.017235560352817824,0.02420863576604153,-0.018443353675213325,0.48026315789473684,0.7720180847000842,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,2024,0.01686059384995963,0.024232943533980207,-0.020489608050594743,0.506578947368421,0.4317125502652969,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,2025,0.01697452051959661,0.024244065807327565,-0.021426577929139157,0.5,0.5228621002394082,304
BTC,phase3_crypto,lstm,phase3_crypto_lstm,7,0.016912998626647458,0.024134984529750804,-0.012255850180766359,0.4967105263157895,0.568287449734703,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,42,0.017553901951312678,0.024858907088282402,-0.0738912607229465,0.5230263157894737,0.2279819152999158,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,123,0.01750506994201565,0.024728488922798737,-0.06265283096502072,0.5230263157894737,0.2279819152999158,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,2024,0.01787990074913044,0.025211961925658003,-0.10461142552027902,0.5032894736842105,0.47713789976059184,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,2025,0.017640039381446537,0.024895672315959145,-0.077070085320744,0.5164473684210527,0.3028989449939276,304
BTC,phase3_crypto,xgb,phase3_crypto_xgb,7,0.01744774494805688,0.024683490829530072,-0.05878896002175771,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,42,0.023451144859066405,0.03423306441005468,-0.04026694363982308,0.5098684210526315,0.38717211017575387,304
ETH,phase0,lstm,phase0_lstm,123,0.023802123102850868,0.034599236342189,-0.06264027123434657,0.5131578947368421,0.3440684584761977,304
ETH,phase0,lstm,phase0_lstm,2024,0.02327709563572543,0.03389287853804637,-0.019694681786554202,0.506578947368421,0.4317125502652969,304
ETH,phase0,lstm,phase0_lstm,2025,0.024112729503273346,0.034684085529758504,-0.06785857833905506,0.5164473684210527,0.3028989449939276,304
ETH,phase0,lstm,phase0_lstm,7,0.023319603715102572,0.033807132251065256,-0.01454171545587335,0.5263157894736842,0.19482655307096733,304
ETH,phase0,xgb,phase0_xgb,42,0.02438798005110229,0.03434921466518327,-0.04733801670835147,0.4868421052631579,0.6971010550060723,304
ETH,phase0,xgb,phase0_xgb,123,0.02479282001566603,0.03475569663641801,-0.07227267641879154,0.4934210526315789,0.6128278898242461,304
ETH,phase0,xgb,phase0_xgb,2024,0.02450396117031619,0.03447843475894141,-0.055232909438775124,0.5296052631578947,0.16477950605098335,304
ETH,phase0,xgb,phase0_xgb,2025,0.02498381529289224,0.035058839697471825,-0.0910592134757211,0.5032894736842105,0.47713789976059184,304
ETH,phase0,xgb,phase0_xgb,7,0.02471248466281775,0.03452527690916004,-0.058102120642942845,0.5131578947368421,0.3440684584761977,304
ETH,phase2_general,lstm,phase2_general_lstm,42,0.023264710182835158,0.03388815962883975,-0.01941075714796381,0.47368421052631576,0.8352204939490167,304
ETH,phase2_general,lstm,phase2_general_lstm,123,0.02306102472029837,0.033645374831402175,-0.004856360304050122,0.5296052631578947,0.16477950605098335,304
ETH,phase2_general,lstm,phase2_general_lstm,2024,0.023206036553991644,0.03400912872197462,-0.02670163963890948,0.5230263157894737,0.2279819152999158,304
ETH,phase2_general,lstm,phase2_general_lstm,2025,0.02491934481776342,0.035774990260493036,-0.13608883596607035,0.5098684210526315,0.38717211017575387,304
ETH,phase2_general,lstm,phase2_general_lstm,7,0.023544649842527077,0.034064554435836024,-0.030050860503630705,0.5,0.5228621002394082,304
ETH,phase2_general,xgb,phase2_general_xgb,42,0.02423745761805551,0.03439490531347331,-0.05012616661835212,0.506578947368421,0.4317125502652969,304
ETH,phase2_general,xgb,phase2_general_xgb,123,0.024247127050091816,0.03441304891678458,-0.05123435969221801,0.5197368421052632,0.26408946731637356,304
