asset,comparison_family,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,mean_loss_differential,dm_statistic,dm_hac_lag,dm_p_value_two_sided,wilcoxon_p_value_two_sided,wilcoxon_p_value_candidate_lower_error,paired_observations,dm_p_value_holm_within_family,wilcoxon_p_value_holm_within_family
BTC,temporal_ablation,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.01685300123773824,0.016892312072746253,-3.9310835008011386e-05,-3.931083500801222e-05,-0.3924480546920876,5,0.6950031055574606,0.3478338005505778,0.1739169002752889,304,1.0,1.0
BTC,temporal_ablation,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.01691260373830153,0.016892312072746253,2.0291665555276228e-05,2.0291665555272803e-05,0.2904453312362286,5,0.7716742530549467,0.6267188992586646,0.6866405503706676,304,1.0,1.0
BTC,temporal_ablation,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.016859391843136777,0.016892312072746253,-3.292022960947605e-05,-3.292022960947935e-05,-0.3492706901264424,5,0.7271287059518827,0.711641634749336,0.355820817374668,304,1.0,1.0
BTC,temporal_ablation,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.016859391843136777,0.01685300123773824,6.390605398535337e-06,6.390605398532883e-06,0.16903377999970476,5,0.865882857778929,0.41399370709167904,0.7930031464541605,304,1.0,1.0
BTC,temporal_ablation,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.016859391843136777,0.01691260373830153,-5.3211895164752276e-05,-5.321189516475214e-05,-0.6519773251702728,5,0.5149100482524582,0.45735085189837565,0.22867542594918783,304,1.0,1.0
BTC,temporal_ablation,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,0.01782732304409414,0.017472938632981584,0.00035438441111255645,0.0003543844111125563,0.8519417540649454,5,0.3949192653347422,0.34716463592701674,0.8264176820364917,304,1.0,1.0
BTC,temporal_ablation,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,0.017472938632981595,0.017472938632981584,1.0408340855860843e-17,8.316971928408541e-18,0.0,5,1.0,1.0,1.0,304,1.0,1.0
BTC,temporal_ablation,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,0.01782732304409414,0.017472938632981584,0.00035438441111255645,0.0003543844111125563,0.8519417540649454,5,0.3949192653347422,0.34716463592701674,0.8264176820364917,304,1.0,1.0
BTC,temporal_ablation,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,0.01782732304409414,0.01782732304409414,0.0,0.0,0.0,5,1.0,1.0,1.0,304,1.0,1.0
BTC,temporal_ablation,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,0.01782732304409414,0.017472938632981595,0.00035438441111254604,0.00035438441111254794,0.8519417540649241,5,0.39491926533475397,0.34716463592701674,0.8264176820364917,304,1.0,1.0
ETH,temporal_ablation,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.023077000443940964,0.023191479927215604,-0.00011447948327463972,-0.00011447948327463759,-0.7828831935602663,5,0.43430715036371226,0.32714942186990614,0.16357471093495307,304,1.0,1.0
ETH,temporal_ablation,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.023141834607642922,0.023191479927215604,-4.9645319572681756e-05,-4.9645319572683376e-05,-0.3610589294980315,5,0.7183070035982235,0.5322583634010938,0.2661291817005469,304,1.0,1.0
ETH,temporal_ablation,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.023025584115638015,0.023191479927215604,-0.0001658958115775891,-0.00016589581157758776,-0.9908641812663991,5,0.3225425100095961,0.13907061604427243,0.06953530802213621,304,1.0,1.0
ETH,temporal_ablation,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.023025584115638015,0.023077000443940964,-5.141632830294937e-05,-5.141632830295022e-05,-0.8709351176303483,5,0.38447908480663306,0.3011440577356471,0.15057202886782356,304,1.0,1.0
ETH,temporal_ablation,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.023025584115638015,0.023141834607642922,-0.00011625049200490734,-0.00011625049200490441,-0.6147485129050312,5,0.539182182091277,0.2794414083199388,0.1397207041599694,304,1.0,1.0
ETH,temporal_ablation,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,0.024399104102367234,0.024170497474870444,0.0002286066274967899,0.00022860662749679363,0.5633441891105259,5,0.5736171774859438,0.5073132602368677,0.7463433698815661,304,1.0,1.0
ETH,temporal_ablation,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,0.024170497474870455,0.024170497474870444,1.0408340855860843e-17,1.345480630236452e-17,0.0,5,1.0,1.0,1.0,304,1.0,1.0
ETH,temporal_ablation,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,0.024399104102367234,0.024170497474870444,0.0002286066274967899,0.00022860662749679363,0.5633441891105259,5,0.5736171774859438,0.5073132602368677,0.7463433698815661,304,1.0,1.0
ETH,temporal_ablation,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,0.024399104102367234,0.024399104102367234,0.0,0.0,0.0,5,1.0,1.0,1.0,304,1.0,1.0
