asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,Dual-scope concat vs general for LSTM,phase5_concat_lstm,phase2_general_lstm,0.016971029849454294,0.016614816346754786,0.0003562135026995081,0.9985185477810048,304
BTC,Dual-scope concat vs crypto for LSTM,phase5_concat_lstm,phase3_crypto_lstm,0.016971029849454294,0.01704013546448766,-6.910561503336785e-05,0.23105015833154946,304
BTC,Reliability fusion vs simple concat for LSTM,phase5_reliability_fusion_lstm,phase5_concat_lstm,0.016912078171252943,0.016971029849454294,-5.895167820135078e-05,0.07454517631025917,304
BTC,Reliability fusion vs general for LSTM,phase5_reliability_fusion_lstm,phase2_general_lstm,0.016912078171252943,0.016614816346754786,0.0002972618244981573,0.992607815144088,304
BTC,Reliability fusion vs crypto for LSTM,phase5_reliability_fusion_lstm,phase3_crypto_lstm,0.016912078171252943,0.01704013546448766,-0.00012805729323471862,0.010322866902298212,304
BTC,Reliability fusion LSTM vs random walk,phase5_reliability_fusion_lstm,random_walk_zero_return,0.016912078171252943,0.016664849382560683,0.00024722878869225945,0.964480870832449,304
BTC,Reliability fusion LSTM vs ARIMA,phase5_reliability_fusion_lstm,arima,0.016912078171252943,0.01667704113053374,0.00023503704071920276,0.9350461302982569,304
BTC,Dual-scope concat vs general for XGB,phase5_concat_xgb,phase2_general_xgb,0.017292423870540554,0.01717294948376575,0.00011947438677480451,0.5854256226136539,304
BTC,Dual-scope concat vs crypto for XGB,phase5_concat_xgb,phase3_crypto_xgb,0.017292423870540554,0.017682591007603422,-0.0003901671370628683,0.008589476029833903,304
BTC,Reliability fusion vs simple concat for XGB,phase5_reliability_fusion_xgb,phase5_concat_xgb,0.017416260406756274,0.017292423870540554,0.00012383653621571983,0.6076366229386143,304
BTC,Reliability fusion vs general for XGB,phase5_reliability_fusion_xgb,phase2_general_xgb,0.017416260406756274,0.01717294948376575,0.00024331092299052434,0.7060099443819936,304
BTC,Reliability fusion vs crypto for XGB,phase5_reliability_fusion_xgb,phase3_crypto_xgb,0.017416260406756274,0.017682591007603422,-0.00026633060084714846,0.30875265889096376,304
BTC,Reliability fusion XGB vs random walk,phase5_reliability_fusion_xgb,random_walk_zero_return,0.017416260406756274,0.016664849382560683,0.0007514110241955904,0.9713107668847115,304
BTC,Reliability fusion XGB vs ARIMA,phase5_reliability_fusion_xgb,arima,0.017416260406756274,0.01667704113053374,0.0007392192762225337,0.9771882571964242,304
ETH,Dual-scope concat vs general for LSTM,phase5_concat_lstm,phase2_general_lstm,0.02389068208757151,0.02445061184470311,-0.0005599297571316011,0.02137000535383027,304
ETH,Dual-scope concat vs crypto for LSTM,phase5_concat_lstm,phase3_crypto_lstm,0.02389068208757151,0.023512778895367716,0.0003779031922037934,0.9624462240367764,304
ETH,Reliability fusion vs simple concat for LSTM,phase5_reliability_fusion_lstm,phase5_concat_lstm,0.023149995949232057,0.02389068208757151,-0.0007406861383394518,0.005721184297524877,304
ETH,Reliability fusion vs general for LSTM,phase5_reliability_fusion_lstm,phase2_general_lstm,0.023149995949232057,0.02445061184470311,-0.001300615895471053,2.23420934355561e-05,304
ETH,Reliability fusion vs crypto for LSTM,phase5_reliability_fusion_lstm,phase3_crypto_lstm,0.023149995949232057,0.023512778895367716,-0.0003627829461356584,0.014008397397268113,304
ETH,Reliability fusion LSTM vs random walk,phase5_reliability_fusion_lstm,random_walk_zero_return,0.023149995949232057,0.02293881618496429,0.00021117976426776597,0.9400910371715411,304
ETH,Reliability fusion LSTM vs ARIMA,phase5_reliability_fusion_lstm,arima,0.023149995949232057,0.022992327544432912,0.0001576684047991453,0.8944284716905103,304
ETH,Dual-scope concat vs general for XGB,phase5_concat_xgb,phase2_general_xgb,0.024038725907504204,0.024102539208351613,-6.381330084740885e-05,0.271722497509724,304
ETH,Dual-scope concat vs crypto for XGB,phase5_concat_xgb,phase3_crypto_xgb,0.024038725907504204,0.024686369537748012,-0.0006476436302438084,0.005075905519194075,304
ETH,Reliability fusion vs simple concat for XGB,phase5_reliability_fusion_xgb,phase5_concat_xgb,0.024521395690147677,0.024038725907504204,0.0004826697826434724,0.9356224541152564,304
ETH,Reliability fusion vs general for XGB,phase5_reliability_fusion_xgb,phase2_general_xgb,0.024521395690147677,0.024102539208351613,0.00041885648179606355,0.8984190322798055,304
ETH,Reliability fusion vs crypto for XGB,phase5_reliability_fusion_xgb,phase3_crypto_xgb,0.024521395690147677,0.024686369537748012,-0.00016497384760033595,0.5262499186601485,304
ETH,Reliability fusion XGB vs random walk,phase5_reliability_fusion_xgb,random_walk_zero_return,0.024521395690147677,0.02293881618496429,0.0015825795051833853,0.9998165914178536,304
ETH,Reliability fusion XGB vs ARIMA,phase5_reliability_fusion_xgb,arima,0.024521395690147677,0.022992327544432912,0.0015290681457147647,0.9997136451673767,304
