asset,phase,model,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_p_value_mean,directional_accuracy_p_value_std
BTC,phase2_general,lstm,phase2_general_lstm,0.016736437153183265,0.00010016070189544041,0.02411524591037579,0.00016316039867370066,-0.010637804974277553,0.013681597727874875,0.5184210526315789,0.030022642655538518,0.306932930651282,0.3317036970399256
BTC,phase2_general,xgb,phase2_general_xgb,0.017250530449238015,0.0001569165927207079,0.024311990933927993,0.0002867816750363998,-0.02727243948201392,0.02425712465654991,0.5223684210526316,0.019377205888188358,0.2691208637412166,0.21679310518541137
BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.017005481477788364,0.00014569113788219574,0.02423525508600171,7.959219031818335e-05,-0.020693110929048776,0.006708090403171472,0.49407894736842106,0.01050573646228376,0.598396247989113,0.1362741569471536
BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.017605331394392392,0.00016891107826564545,0.02487570421644563,0.00020758639424981164,-0.0754029125101491,0.018005483784551517,0.5144736842105263,0.009187000028795377,0.33354264512392956,0.11563098541183424
BTC,phase5_concat,lstm,phase5_concat_lstm,0.016957901641771446,0.00031683223830890545,0.02426926873093634,0.00021635250238780692,-0.023616404553973337,0.01833468886223042,0.4822368421052632,0.031602924011777514,0.6732812123719304,0.32359836390750996
BTC,phase5_concat,xgb,phase5_concat_xgb,0.017253304696858467,0.00020798338195606928,0.024434979108534125,0.0001922532230408697,-0.03762803530152885,0.016366118770332005,0.5348684210526315,0.010031546501300571,0.13468252948213738,0.07364264676295636
BTC,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.016822981516931866,3.974548057935993e-05,0.024145643437066426,4.2192964404264684e-05,-0.013152622269992831,0.003540121583580463,0.49407894736842106,0.01895376354064197,0.5810093411576094,0.21613326395009022
BTC,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.017287617788245675,0.00023781191801003275,0.02457052564544799,0.00020252023733256718,-0.04917695830118518,0.01732358844039786,0.5355263157894736,0.014033374347172107,0.13970161101942488,0.09089887202538338
ETH,phase2_general,lstm,phase2_general_lstm,0.023599153223483132,0.0007585927124211292,0.034276441575709124,0.0008530839039211952,-0.04342169071212489,0.052700447479071925,0.5072368421052631,0.0219927824347984,0.4276032251430156,0.2672946598942037
ETH,phase2_general,xgb,phase2_general_xgb,0.02410341407239194,0.00019060088668693706,0.03431976421749542,0.00016057512516238535,-0.045561156560375696,0.009768442988273595,0.5203947368421054,0.010505736462283784,0.26763272730128407,0.11236855440626409
ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.02330108927878174,0.00012300051459800368,0.03394836645384296,0.00022651859155937206,-0.02307265026157772,0.013647739292003034,0.5032894736842105,0.012086298072943326,0.47543706235014804,0.16041717225319913
ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.024374549958201843,0.00037966650349261844,0.03478278758098832,0.0003842073220639222,-0.07404975916047252,0.023712367031016746,0.49868421052631573,0.01587831366598312,0.5405587358818168,0.2035593049935882
ETH,phase5_concat,lstm,phase5_concat_lstm,0.023715911908777844,0.000560668563864175,0.03397264031462413,0.0006063707196604425,-0.02476083201610908,0.03689653633769869,0.5092105263157894,0.0168374788053549,0.4097385925749403,0.21170262565689296
ETH,phase5_concat,xgb,phase5_concat_xgb,0.02394674903679158,0.00017677678155134853,0.03413962366916583,0.0002253641262392171,-0.034631847326133114,0.013649266534021503,0.5190789473684211,0.016348386368143647,0.2876692138033272,0.20707553887164135
ETH,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.02324659008151335,0.0002477903108221912,0.03379207951024836,0.0002563128814315124,-0.01368511376420729,0.015423886875925,0.49407894736842106,0.02046359344078392,0.6042893091885133,0.25299358168567004
ETH,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.0247463447601369,0.0001826126901819733,0.03454241808122929,0.0003113218537223717,-0.05922186594855154,0.019167964221556026,0.4875,0.004288948950791212,0.6873827528555128,0.05055966988575487
