asset,comparison,candidate_method,reference_method,candidate_mae,reference_mae,mae_difference,wilcoxon_p_value_candidate_lower_error,paired_observations
BTC,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,0.01704013546448762,0.01666484938256064,0.00037528608192698154,0.9960312372969183,304
BTC,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,0.01704013546448762,0.0166770411305337,0.0003630943339539214,0.9909434225441676,304
BTC,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.01684802745023663,0.01704013546448766,-0.00019210801425103077,0.0062864806018284305,304
BTC,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.0167630123582427,0.01704013546448766,-0.0002771231062449614,0.0004910994474946347,304
BTC,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.01681752023376976,0.01704013546448766,-0.00022261523071790204,0.0014626892591980078,304
BTC,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.01681752023376976,0.01684802745023663,-3.0507216466871268e-05,0.1624507465218103,304
BTC,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.01681752023376976,0.0167630123582427,5.450787552705935e-05,0.9742540009963641,304
BTC,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,0.017682591007603388,0.01666484938256064,0.0010177416250427493,0.9958989200963422,304
BTC,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,0.017682591007603388,0.0166770411305337,0.0010055498770696891,0.9946602172800589,304
BTC,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,0.01801305474404623,0.017682591007603422,0.0003304637364428091,0.7548264002005238,304
BTC,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,0.017682591007603436,0.017682591007603422,1.3877787807814457e-17,1.0,304
BTC,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,0.01801305474404623,0.017682591007603422,0.0003304637364428091,0.7548264002005238,304
BTC,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,0.01801305474404623,0.01801305474404623,0.0,1.0,304
BTC,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,0.01801305474404623,0.017682591007603436,0.0003304637364427952,0.7548264002005238,304
ETH,Phase 3 reference LSTM vs random walk,phase3_reference_lstm,random_walk_zero_return,0.023512778895367677,0.02293881618496425,0.0005739627104034278,0.9933583679518424,304
ETH,Phase 3 reference LSTM vs ARIMA,phase3_reference_lstm,arima,0.023512778895367677,0.022992327544432867,0.0005204513509348106,0.9904708961743405,304
ETH,Short window only vs Phase 3 for LSTM,phase4_short_window_only_lstm,phase3_reference_lstm,0.022989120154932347,0.023512778895367716,-0.000523658740435369,0.013213824983955213,304
ETH,Decay only vs Phase 3 for LSTM,phase4_decay_only_lstm,phase3_reference_lstm,0.02295798356089699,0.023512778895367716,-0.0005547953344707257,0.002503222960427533,304
ETH,Combined temporal changes vs Phase 3 for LSTM,phase4_combined_lstm,phase3_reference_lstm,0.022929001316819898,0.023512778895367716,-0.0005837775785478179,0.0039078291350844304,304
ETH,Combined vs short window only for LSTM,phase4_combined_lstm,phase4_short_window_only_lstm,0.022929001316819898,0.022989120154932347,-6.0118838112448864e-05,0.2738892468808517,304
ETH,Combined vs decay only for LSTM,phase4_combined_lstm,phase4_decay_only_lstm,0.022929001316819898,0.02295798356089699,-2.8982244077092184e-05,0.2680587136321797,304
ETH,Phase 3 reference XGB vs random walk,phase3_reference_xgb,random_walk_zero_return,0.02468636953774798,0.02293881618496425,0.0017475533527837317,0.9999238051243204,304
ETH,Phase 3 reference XGB vs ARIMA,phase3_reference_xgb,arima,0.02468636953774798,0.022992327544432867,0.0016940419933151145,0.999892107604523,304
ETH,Short window only vs Phase 3 for XGB,phase4_short_window_only_xgb,phase3_reference_xgb,0.02425777401453533,0.024686369537748012,-0.0004285955232126819,0.41305041119130165,304
ETH,Decay only vs Phase 3 for XGB,phase4_decay_only_xgb,phase3_reference_xgb,0.024686369537748026,0.024686369537748012,1.3877787807814457e-17,1.0,304
ETH,Combined temporal changes vs Phase 3 for XGB,phase4_combined_xgb,phase3_reference_xgb,0.02425777401453533,0.024686369537748012,-0.0004285955232126819,0.41305041119130165,304
ETH,Combined vs short window only for XGB,phase4_combined_xgb,phase4_short_window_only_xgb,0.02425777401453533,0.02425777401453533,0.0,1.0,304
ETH,Combined vs decay only for XGB,phase4_combined_xgb,phase4_decay_only_xgb,0.02425777401453533,0.024686369537748026,-0.00042859552321269576,0.41305041119130165,304
