asset,phase,model,method,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,directional_accuracy_p_value_mean,directional_accuracy_p_value_std
BTC,phase0,lstm,phase0_lstm,0.016874132627963768,0.00010488816149441133,0.024231450407294415,5.6634711338445294e-05,-0.02036831496750131,0.004768335486889751,0.48157894736842105,0.020090041427108525,0.7265210425853333,0.2246567246825879
BTC,phase0,xgb,phase0_xgb,0.017602416875904796,0.0001855584685710745,0.025011721826736867,0.00025160278944292056,-0.08722287619147248,0.021975521206113693,0.5131578947368421,0.023947729898949076,0.39014478195972613,0.23327314461026138
BTC,phase1,lstm,phase1_lstm,0.017048061896901567,0.0005513949822024563,0.024335512208958,0.0005473656843499339,-0.02956309084572455,0.046957639912091835,0.4901315789473684,0.009304036594559844,0.6496027218397051,0.11618819759272231
BTC,phase1,xgb,phase1_xgb,0.017837915580447165,0.00023048296471489386,0.02496754156317298,0.00016882650080672407,-0.08333729436575506,0.014655102225780875,0.49934210526315786,0.007501154112494314,0.5303351411021555,0.10059687449097038
BTC,phase2,lstm,phase2_lstm,0.01667509139910233,0.00011102555223651689,0.024020541038036726,0.00010419603766604277,-0.002693855750520657,0.00870760476524613,0.5013157894736843,0.02787331600567744,0.5089130010869182,0.3287177138736269
BTC,phase2,xgb,phase2_xgb,0.0172588433544209,0.00011164470522172014,0.024510625326860207,0.0002544197729217567,-0.04410087796505517,0.02174487271650738,0.5019736842105262,0.02152029899183703,0.4989607924782532,0.25563453397514985
ETH,phase0,lstm,phase0_lstm,0.02363522264528028,0.0005379071957590711,0.034171063232885185,0.00041104126310209833,-0.036622180752574354,0.025089169743416545,0.5013157894736842,0.015533840727786302,0.5095718299201684,0.19804138194557563
ETH,phase0,xgb,phase0_xgb,0.024713363473919652,0.0003298889654874089,0.03483058133437973,0.0003246012024006102,-0.07697312066460134,0.02010554143455373,0.5026315789473684,0.01895376354064202,0.47553329176727177,0.22899580637207065
ETH,phase1,lstm,phase1_lstm,0.023262725477376577,0.00039547525959154764,0.03371899213845755,0.0001506279583525957,-0.009274607960954829,0.00903685563450859,0.5,0.013157894736842108,0.5227425598459996,0.1721703124309591
ETH,phase1,xgb,phase1_xgb,0.025972025043430397,0.0009663265658402789,0.03600760688175182,0.0009901675648399028,-0.1516072951821567,0.06361317053097756,0.49605263157894736,0.01532344039322647,0.5710736004934363,0.20039490312720043
ETH,phase2,lstm,phase2_lstm,0.025000651191719885,0.0026158476675629773,0.03513660355441886,0.0022766844807604355,-0.09958558546760599,0.1478066086696609,0.4947368421052632,0.01654575834205173,0.5827023392579427,0.20108833771657536
ETH,phase2,xgb,phase2_xgb,0.02424225592791982,0.00011493228838594234,0.03445110525963104,0.00012749916165758418,-0.053572245470480916,0.007797693128992958,0.5105263157894736,0.018226177864730356,0.3977326446373768,0.22209821343429226
