feature,vif,above_reported_threshold,asset
volume_vs_MA5,2.6760734326144657,False,BTC
intraday_range,2.2314742748673995,False,BTC
SP500_Return,2.1655663059271095,False,BTC
VIX_Change,2.0570246692537766,False,BTC
volume_change,1.984237396951977,False,BTC
RSI,1.6026764253645003,False,BTC
volatility_20d,1.4425862462757983,False,BTC
Log_Return,1.4012698547338138,False,BTC
Return_lag1,1.1738675832463161,False,BTC
Return_lag3,1.128386047850057,False,BTC
Return_lag5,1.0922175094636208,False,BTC
volume_vs_MA5,2.640515287777399,False,ETH
intraday_range,2.1728641322195927,False,ETH
SP500_Return,2.1486906605120084,False,ETH
volume_change,2.0723746456406347,False,ETH
VIX_Change,2.062549613697492,False,ETH
RSI,1.6042883750999428,False,ETH
volatility_20d,1.4774400239203844,False,ETH
Log_Return,1.4119587850180002,False,ETH
Return_lag1,1.2127959042903917,False,ETH
Return_lag3,1.1317274660423435,False,ETH
Return_lag5,1.0994840085593136,False,ETH
