asset,phase,model,method,seed,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count
BTC,phase3_reference,lstm,phase3_reference_lstm,42,0.01707104002000294,0.024431051924792287,-0.037243159322016384,0.48026315789473684,0.7720180847000842,304
BTC,phase3_reference,xgb,phase3_reference_xgb,42,0.017553901951312678,0.024858907088282402,-0.0738912607229465,0.5230263157894737,0.2279819152999158,304
BTC,phase4_short_window_only,lstm,phase4_short_window_only_lstm,42,0.01686517468775099,0.024257866068221088,-0.02258974628843502,0.5032894736842105,0.47713789976059184,304
BTC,phase4_short_window_only,xgb,phase4_short_window_only_xgb,42,0.0180209618467867,0.025395908064205407,-0.12078868606537974,0.48026315789473684,0.7720180847000842,304
BTC,phase4_decay_only,lstm,phase4_decay_only_lstm,42,0.016770339479782945,0.0241377361499736,-0.012486677131787527,0.4605263157894737,0.9242513671309308,304
BTC,phase4_decay_only,xgb,phase4_decay_only_xgb,42,0.017553901951312678,0.024858907088282402,-0.0738912607229465,0.5230263157894737,0.2279819152999158,304
BTC,phase4_combined,lstm,phase4_combined_lstm,42,0.01677422835844156,0.024153016397620162,-0.013768979995288033,0.48026315789473684,0.7720180847000842,304
BTC,phase4_combined,xgb,phase4_combined_xgb,42,0.0180209618467867,0.025395908064205407,-0.12078868606537974,0.48026315789473684,0.7720180847000842,304
ETH,phase3_reference,lstm,phase3_reference_lstm,42,0.023123445830573797,0.033747838232999074,-0.010986045568937675,0.5230263157894737,0.2279819152999158,304
ETH,phase3_reference,xgb,phase3_reference_xgb,42,0.0243517352480823,0.03466424824213434,-0.06663742116606763,0.4934210526315789,0.6128278898242461,304
ETH,phase4_short_window_only,lstm,phase4_short_window_only_lstm,42,0.02337826722486531,0.03378456484884,-0.013187685837878549,0.506578947368421,0.4317125502652969,304
ETH,phase4_short_window_only,xgb,phase4_short_window_only_xgb,42,0.02471663171260967,0.034810155136218116,-0.07563558471201537,0.506578947368421,0.4317125502652969,304
ETH,phase4_decay_only,lstm,phase4_decay_only_lstm,42,0.023219406552005512,0.033816253752681456,-0.015089256268187468,0.46710526315789475,0.8858173157079974,304
ETH,phase4_decay_only,xgb,phase4_decay_only_xgb,42,0.0243517352480823,0.03466424824213434,-0.06663742116606763,0.4934210526315789,0.6128278898242461,304
ETH,phase4_combined,lstm,phase4_combined_lstm,42,0.023196049908774132,0.0338853086355721,-0.019239239368106897,0.4967105263157895,0.568287449734703,304
ETH,phase4_combined,xgb,phase4_combined_xgb,42,0.02471663171260967,0.034810155136218116,-0.07563558471201537,0.506578947368421,0.4317125502652969,304
