asset,phase,model,method,mae,rmse,r2,directional_accuracy,directional_accuracy_p_value,observation_count,mae_gain_vs_random_walk_pct,mae_gain_vs_arima_pct
BTC,benchmark,arima,arima,0.01667704113053374,0.024010924920393747,-0.0018761203441846064,0.48355263157894735,0.7359105326836264,304,-0.07315846482126043,0.0
BTC,benchmark,random_walk_zero_return,random_walk_zero_return,0.016664849382560683,0.024013387510992572,-0.0020816382276849232,,,304,0.0,0.07310498233847375
BTC,phase2_general,lstm,phase2_general_lstm,0.01661481634675479,0.023984220362033924,0.0003511808835883201,0.5230263157894737,0.2279819152999158,304,0.3002309511315032,0.37311644968617763
BTC,phase2_general,xgb,phase2_general_xgb,0.017172949483765756,0.02441376448355418,-0.03577576969638274,0.506578947368421,0.4317125502652969,304,-3.04893305388518,-2.9735991495761516
BTC,phase3_crypto,lstm,phase3_crypto_lstm,0.017160490057231737,0.024385970155135838,-0.03341871374911465,0.48355263157894735,0.7359105326836264,304,-2.9741683425577694,-2.898889094977752
BTC,phase3_crypto,xgb,phase3_crypto_xgb,0.017682591007603436,0.024922185823046915,-0.07936543298683274,0.4901315789473684,0.6559315415238023,304,-6.1071156521089955,-6.029546063951657
BTC,phase5_concat,lstm,phase5_concat_lstm,0.016940976919471957,0.02425794226510693,-0.02259617045421436,0.48355263157894735,0.7359105326836264,304,-1.6569458899534575,-1.5826295976147753
BTC,phase5_concat,xgb,phase5_concat_xgb,0.017292423870540554,0.024497381964362297,-0.04288301274741113,0.5230263157894737,0.2279819152999158,304,-3.765857545863033,-3.6899995340307643
BTC,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.016677174213086163,0.023988053871015175,3.159834769705938e-05,0.46381578947368424,0.9064834941780341,304,-0.07395704721086115,-0.000797998586085846
BTC,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.017195075167485818,0.0246634351014734,-0.057069093346585165,0.4967105263157895,0.568287449734703,304,-3.181701632899251,-3.1062706681439836
ETH,benchmark,arima,arima,0.022992327544432912,0.03365921332209887,-0.005683133980972643,0.5197368421052632,0.26408946731637356,304,-0.23327864453482902,0.0
ETH,benchmark,random_walk_zero_return,random_walk_zero_return,0.02293881618496429,0.0335957913281933,-0.0018968102590299907,,,304,0.0,0.23273572179767107
ETH,phase2_general,lstm,phase2_general_lstm,0.024450611844703124,0.03457984272367849,-0.06144933949857978,0.48355263157894735,0.7359105326836264,304,-6.590556581249252,-6.342482280021728
ETH,phase2_general,xgb,phase2_general_xgb,0.02410253920835162,0.034279540531066334,-0.04309347363063054,0.5263157894736842,0.19482655307096733,304,-5.073160768209627,-4.828617989080107
ETH,phase3_crypto,lstm,phase3_crypto_lstm,0.023374036659827475,0.03398511702831207,-0.02525237332289465,0.5131578947368421,0.3440684584761977,304,-1.8973100937460652,-1.6601586536069741
ETH,phase3_crypto,xgb,phase3_crypto_xgb,0.024686369537748026,0.03503855085113162,-0.08979676853002383,0.5,0.5228621002394082,304,-7.618324061244294,-7.367857777953802
ETH,phase5_concat,lstm,phase5_concat_lstm,0.023462768806940117,0.03387060793608037,-0.018355063885174605,0.4769736842105263,0.8051734469290327,304,-2.284131045608454,-2.0460793349349813
ETH,phase5_concat,xgb,phase5_concat_xgb,0.024038725907504204,0.03430111596863636,-0.04440692650208411,0.5164473684210527,0.3028989449939276,304,-4.794971604772137,-4.551076271200106
ETH,phase5_reliability_fusion,lstm,phase5_reliability_fusion_lstm,0.02405378226378613,0.03431956995273072,-0.04553100965937129,0.5098684210526315,0.38717211017575387,304,-4.860608628760306,-4.616560534386729
ETH,phase5_reliability_fusion,xgb,phase5_reliability_fusion_xgb,0.028448730288837328,0.03829736313957484,-0.30194005769420573,0.5427631578947368,0.07574863286906915,304,-24.02004558319195,-23.731406634930114
